item : [{"Id":22,"Name":"test","Description":"tarr","Price":5255,"CategoryId":1,"ImageUrl":"media\\products\\8858ba79-e6b4-4c8d-97b1-32d97d5edeb2.png","CreatedBy":"rat","Category":null},{"Id":23,"Name":"rat","Description":"tes","Price":52,"CategoryId":1,"ImageUrl":"media\\products\\4504ac5e-8ed8-4aaf-a605-a33ccedd0f1f.png","CreatedBy":"cat","Category":null}] | successfully retrieved | 13/03/2024 1:18:32 PM
item : [{"Id":22,"Name":"test","Description":"tarr","Price":5255,"CategoryId":1,"ImageUrl":"media\\products\\8858ba79-e6b4-4c8d-97b1-32d97d5edeb2.png","CreatedBy":"rat","Category":null},{"Id":23,"Name":"rat","Description":"tes","Price":52,"CategoryId":1,"ImageUrl":"media\\products\\4504ac5e-8ed8-4aaf-a605-a33ccedd0f1f.png","CreatedBy":"cat","Category":null}] | successfully retrieved | 13/03/2024 1:23:26 PM
item : [{"Id":22,"Name":"test","Description":"tarr","Price":5255,"CategoryId":1,"ImageUrl":"media\\products\\8858ba79-e6b4-4c8d-97b1-32d97d5edeb2.png","CreatedBy":"rat","Category":null},{"Id":23,"Name":"rat","Description":"tes","Price":52,"CategoryId":1,"ImageUrl":"media\\products\\4504ac5e-8ed8-4aaf-a605-a33ccedd0f1f.png","CreatedBy":"cat","Category":null}] | successfully retrieved | 13/03/2024 1:27:06 PM
item : [{"Id":22,"Name":"test","Description":"tarr","Price":5255,"CategoryId":1,"ImageUrl":"media\\products\\8858ba79-e6b4-4c8d-97b1-32d97d5edeb2.png","CreatedBy":"rat","Category":null},{"Id":23,"Name":"rat","Description":"tes","Price":52,"CategoryId":1,"ImageUrl":"media\\products\\4504ac5e-8ed8-4aaf-a605-a33ccedd0f1f.png","CreatedBy":"cat","Category":null}] | successfully retrieved | 13/03/2024 1:27:06 PM
item : [{"Id":22,"Name":"test","Description":"tarr","Price":5255,"CategoryId":1,"ImageUrl":"media\\products\\8858ba79-e6b4-4c8d-97b1-32d97d5edeb2.png","CreatedBy":"rat","Category":null},{"Id":23,"Name":"rat","Description":"tes","Price":52,"CategoryId":1,"ImageUrl":"media\\products\\4504ac5e-8ed8-4aaf-a605-a33ccedd0f1f.png","CreatedBy":"cat","Category":null}] | successfully retrieved | 13/03/2024 1:27:30 PM
item : [{"Id":22,"Name":"test","Description":"tarr","Price":5255,"CategoryId":1,"ImageUrl":"media\\products\\8858ba79-e6b4-4c8d-97b1-32d97d5edeb2.png","CreatedBy":"rat","Category":null},{"Id":23,"Name":"rat","Description":"tes","Price":52,"CategoryId":1,"ImageUrl":"media\\products\\4504ac5e-8ed8-4aaf-a605-a33ccedd0f1f.png","CreatedBy":"cat","Category":null}] | successfully retrieved | 13/03/2024 1:27:55 PM
item : [{"Id":22,"Name":"test","Description":"tarr","Price":5255,"CategoryId":1,"ImageUrl":"media\\products\\8858ba79-e6b4-4c8d-97b1-32d97d5edeb2.png","CreatedBy":"rat","Category":null},{"Id":23,"Name":"rat","Description":"tes","Price":52,"CategoryId":1,"ImageUrl":"media\\products\\4504ac5e-8ed8-4aaf-a605-a33ccedd0f1f.png","CreatedBy":"cat","Category":null}] | successfully retrieved | 13/03/2024 1:28:42 PM
item : [{"Id":22,"Name":"test","Description":"tarr","Price":5255,"CategoryId":1,"ImageUrl":"media\\products\\8858ba79-e6b4-4c8d-97b1-32d97d5edeb2.png","CreatedBy":"rat","Category":null},{"Id":23,"Name":"rat","Description":"tes","Price":52,"CategoryId":1,"ImageUrl":"media\\products\\4504ac5e-8ed8-4aaf-a605-a33ccedd0f1f.png","CreatedBy":"cat","Category":null}] | successfully retrieved | 13/03/2024 1:29:53 PM
item : [{"Id":22,"Name":"test","Description":"tarr","Price":5255,"CategoryId":1,"ImageUrl":"media\\products\\8858ba79-e6b4-4c8d-97b1-32d97d5edeb2.png","CreatedBy":"rat","Category":null},{"Id":23,"Name":"rat","Description":"tes","Price":52,"CategoryId":1,"ImageUrl":"media\\products\\4504ac5e-8ed8-4aaf-a605-a33ccedd0f1f.png","CreatedBy":"cat","Category":null}] | successfully retrieved | 13/03/2024 1:30:05 PM
item : [{"Id":22,"Name":"test","Description":"tarr","Price":5255,"CategoryId":1,"ImageUrl":"media\\products\\8858ba79-e6b4-4c8d-97b1-32d97d5edeb2.png","CreatedBy":"rat","Category":null},{"Id":23,"Name":"rat","Description":"tes","Price":52,"CategoryId":1,"ImageUrl":"media\\products\\4504ac5e-8ed8-4aaf-a605-a33ccedd0f1f.png","CreatedBy":"cat","Category":null}] | successfully retrieved | 13/03/2024 1:33:29 PM
item : [{"Id":22,"Name":"test","Description":"tarr","Price":5255,"CategoryId":1,"ImageUrl":"media\\products\\8858ba79-e6b4-4c8d-97b1-32d97d5edeb2.png","CreatedBy":"rat","Category":null},{"Id":23,"Name":"rat","Description":"tes","Price":52,"CategoryId":1,"ImageUrl":"media\\products\\4504ac5e-8ed8-4aaf-a605-a33ccedd0f1f.png","CreatedBy":"cat","Category":null}] | successfully retrieved | 13/03/2024 1:35:07 PM
item : [{"Id":22,"Name":"test","Description":"tarr","Price":5255,"CategoryId":1,"ImageUrl":"media\\products\\8858ba79-e6b4-4c8d-97b1-32d97d5edeb2.png","CreatedBy":"rat","Category":null},{"Id":23,"Name":"rat","Description":"tes","Price":52,"CategoryId":1,"ImageUrl":"media\\products\\4504ac5e-8ed8-4aaf-a605-a33ccedd0f1f.png","CreatedBy":"cat","Category":null}] | successfully retrieved | 13/03/2024 1:35:28 PM
item : [{"Id":22,"Name":"test","Description":"tarr","Price":5255,"CategoryId":1,"ImageUrl":"media\\products\\8858ba79-e6b4-4c8d-97b1-32d97d5edeb2.png","CreatedBy":"rat","Category":null},{"Id":23,"Name":"rat","Description":"tes","Price":52,"CategoryId":1,"ImageUrl":"media\\products\\4504ac5e-8ed8-4aaf-a605-a33ccedd0f1f.png","CreatedBy":"cat","Category":null}] | successfully retrieved | 13/03/2024 1:36:02 PM
item : [{"Id":22,"Name":"test","Description":"tarr","Price":5255,"CategoryId":1,"ImageUrl":"media\\products\\8858ba79-e6b4-4c8d-97b1-32d97d5edeb2.png","CreatedBy":"rat","Category":null},{"Id":23,"Name":"rat","Description":"tes","Price":52,"CategoryId":1,"ImageUrl":"media\\products\\4504ac5e-8ed8-4aaf-a605-a33ccedd0f1f.png","CreatedBy":"cat","Category":null}] | successfully retrieved | 13/03/2024 1:39:57 PM
